sentença,sentimento
"Nada vai mudar, meu time sempre perde.",0
Minha saúde está cada vez pior e os médicos não conseguem descobrir o motivo.,0
Não vejo mais sentido na vida.,0
Tenho o melhor trabalho do mundo.,1
A vida é cheia de surpresas e eu as recebo de braços abertos.,1
Receber um gesto de carinho me aquece o coração.,1
"Mesmo diante de dificuldades, escolho ser grato e feliz.",1
Cada desafio é uma oportunidade para crescer e aprender.,1
Amar e ser amado é a maior bênção da vida.,1
Sinto-me sufocado por problemas.,0
Meu cachorro comeu meu livro da faculdade.,0
Receber elogios dos meus colegas é muito gratificante e me motiva a continuar dando o meu melhor.,1
Nada é fácil para mim.,0
Me sinto perdido e sem direção,0
Me sinto subestimado e menosprezado pelas pessoas.,0
Você traz luz para todos os lugares por onde passa.,1
A vida é uma luta constante e eu estou perdendo.,0
"Nunca mude, pois você é perfeito do jeitinho que é!",1
Eu estou ajudando alguém.,1
"52. Às vezes, acho que seria melhor não sentir nada do que sentir essa dor constante.",0
Acredito no poder do amor e da empatia para transformar o mundo.,1
Sou grato por ter uma família amorosa ao meu lado.,1
Sinto muito orgulho de ser seu amigo!,1
Recebi um presente surpresa de alguém querido.,1
A sensação de dever cumprido após um dia de trabalho árduo é recompensadora.,1
Estou tão cansado de sempre ser o alvo das piadas e brincadeiras,0
84. Não é fácil perdoar a si mesmo por ter falhado.,0
Me sinto um estranho em meio às pessoas.,0
Cada dia é uma oportunidade para fazer algo bom pelos outros.,1
Recebo muito amor do meu parceiro(a) e isso enche meu coração de alegria.,1
Encontrei uma solução para um problema que estava me preocupando.,1
Recebi um elogio sobre meu trabalho e me senti reconhecida.,1
Obrigado por sempre estar aqui por mim!,1
Meu celular quebrou e não tenho dinheiro para consertar.,0
Não confio mais em minhas próprias decisões.,0
Fiz uma boa ação para alguém que precisava.,1
Ter um animal de estimação é a melhor companhia do mundo.,1
Recebi a notícia de que minha família vai aumentar.,1
"Recebi uma notícia muito boa hoje, estou extasiado e ansioso para compartilhar com todos os meus amigos.",1
Descobri que meu time do coração fará um jogo amistoso na minha cidade e fiquei extasiado.,1
"Não quero mais tentar, parece que me tornei um perdedor.",0
Minha vida é um presente precioso.,1
Sou uma pessoa abençoada por ter tanto amor na minha vida.,1
"70. Não importa o quanto eu diga que está tudo bem, minha alma ainda dói.",0
A vida é um presente e eu aproveito cada momento.,1
Me sinto preso(a) em um ciclo de tristeza e negatividade.,0
98. Acho que nunca vou ser feliz de verdade.,0
Me sinto um eterno azarado.,0
9. Não tenho mais forças para lutar contra essa escuridão que me consome.,0
"Essa situação me deixou sem chão, não sei como vou seguir em frente.",0
A vida é uma jornada maravilhosa.,1
Não consigo encontrar uma saída para meus problemas.,0
Recebi uma mensagem de parabéns por uma conquista e me senti realizado.,1
Não tenho mais esperanças de que as coisas possam melhorar,0
Minha vida é uma tortura.,0
"Finalmente consegui realizar meu sonho, estou extremamente realizado.",1
Não ser amado por quem queremos é um vazio que nunca pode ser preenchido.,0
Adoro quando um plano dá certo e tudo sai perfeito.,1
Consegui acertar em uma decisão importante.,1
Recebi uma massagem nos pés após um dia cansativo.,1
Minha saúde está em dia e isso é motivo de alegria.,1
Não tenho nenhum apoio.,0
Sinto que sou um peso morto na vida das pessoas.,0
Sinto-me um fracasso como pai/mãe,0
O amor é o sentimento mais poderoso do mundo.,1
"Receber um presente inesperado de alguém especial me deixou extremamente feliz.""",1
Estou cansado de sempre estar desapontado e magoado,0
Não tenho nenhum amigo verdadeiro.,0
Estou tão cansado de sempre ter que lidar com desapontamentos,0
Adoro quando o céu fica todo colorido durante o pôr do sol.,1
"Toda vez que me sinto feliz, algo sempre dá errado.",0
Tudo parece estar sempre contra mim,0
Não ter o apoio da família é uma ferida que nunca cicatriza.,0
Sou grato pela oportunidade de aprender e evoluir todos os dias.,1
Adoro quando recebo um feedback positivo sobre meu trabalho ou desempenho.,1
As pessoas sempre me decepcionam,0
"Nossa, estou muito feliz hoje!",1
Não consigo escapar dessa escuridão que me consome.,0
Receber um presente pensativo de alguém que me conhece bem sempre me toca o coração.,1
Não sei como sair desse buraco de tristeza.,0
51. É difícil confiar nas pessoas quando elas sempre te decepcionam.,0
Eu me sinto rejeitado pelo mundo.,0
Todos parecem estar melhor que eu.,0
Ser gentil com os outros me faz sentir bem.,1
Eu estou triste.,0
Sou abençoado por ter pessoas incríveis ao meu lado.,1
Não tenho nenhuma perspectiva de futuro.,0
46. Sinto como se estivesse preso em um ciclo infinito de fracasso.,0
Estou transbordando de felicidade!,1
Eu me sinto arrependido pela minha família.,0
Sinto-me um fracasso total em todas as áreas da minha vida,0
67. É decepcionante ver que as pessoas só se importam com dinheiro e status.,0
Recebi uma mensagem de agradecimento de um cliente e me senti valorizado.,1
Meu coração está tão cheio de alegria que não cabe no peito.,1
"Não quero mais tentar, já perdi as esperanças de que tudo possa melhorar.",0
A vida é uma obra de arte e eu sou o artista.,1
Nada consegue me aliviar dessa tristeza.,0
Eu me sinto realizado quando ajudo alguém a superar seus medos.,1
Meu parceiro(a) é sempre compreensivo e carinhoso.,1
Meu coração se enche de alegria quando vejo meus alunos progredindo.,1
Completei um projeto importante com sucesso.,1
Sinto que não tenho nenhum controle sobre minha própria vida,0
O sol brilha mais para mim.,1
O otimismo e a fé são as chaves para uma vida mais feliz e plena.,1
Me sinto sozinho(a) e abandonado(a) por todos.,0
Colecionar boas memórias é uma das coisas mais valiosas que temos na vida.,1
Me sinto incapaz de alcançar meus objetivos e isso me desmotiva mais a cada dia.,0
"Fui à praia e deixei meu celular na bolsa, que acabou molhando.",0
Não me sinto merecedor de amor ou felicidade,0
Nunca consigo realizar meus sonhos.,0
Eu estou ansioso.,0
O sorriso que você me dá não tem preço.,1
Recebi um abraço sincero de alguém especial.,1
"Não consigo dormir, minha mente está pesada demais.",0
"Não quero mais nada dessa vida, nada vale a pena.",0
Não consigo parar de pensar em tudo o que poderia ter sido se eu tivesse tomado uma decisão diferente.,0
Estou muito feliz com o resultado do meu projeto.,1
Fiz uma trilha e cheguei a um mirante com uma vista de tirar o fôlego.,1
Fiz uma trilha e tirei fotos incríveis da natureza.,1
Não tenho nenhum talento especial,0
Me sinto preso em um ciclo sem fim de problemas e desgraças.,0
Nada mais me interessa.,0
Estou me afogando em meus próprios pensamentos negativos.,0
Estou muito orgulhosa do meu filho.,1
"Somos como um só, pois nossos corações batem em sintonia.",1
Estou completamente desmotivado.,0
Adoro quando um plano de viagem dá certo e tudo sai perfeito.,1
Estou cercado de pessoas incríveis e amorosas.,1
Sinto que nunca serei bom o bastante.,0
Não há palavras que descrevam minha tristeza,0
Receber um elogio sincero sempre me faz sorrir.,1
Me sinto em paz quando estou nos seus braços.,1
Acordei com uma sensação boa hoje.,1
A gratidão traz uma paz que não tem preço.,1
Você é incrível.,1
Me sinto sozinho e abandonado,0
Não aguento mais a solidão.,0
Sou grato por cada amanhecer.,1
Eu estou com raiva do mundo.,0
Sinto que a vida é uma piada de mau gosto.,0
Meu patrão me fez trabalhar horas extras não pagas e ainda me demitiu.,0
Meus hobbies são uma forma de me reconectar comigo mesmo e me fazer feliz.,1
Acredito que o destino nos uniu para sermos mais felizes.,1
Todos os dias são uma oportunidade para recomeçar e fazer diferente.,1
Estou muito grato por ter um lar onde posso me sentir seguro e confortável.,1
A comida do restaurante novo que experimentei é simplesmente deliciosa.,1
Minha vida é uma sequência de fracassos.,0
Recebi uma multa por excesso de velocidade em uma estrada vazia.,0
Receber uma conta bancária zerada no final do mês é tão frustrante.,0
Não sou bom o suficiente.,0
Às vezes sinto que não tenho mais forças para enfrentar mais um dia.,0
Estou farto de ser julgado e criticado por quem não me conhece de verdade.,0
Nada parece me motivar ou me animar,0
Sua presença é sempre muito bem-vinda!,1
Não sou capaz de controlar minhas emoções,0
Eu estou com raiva da vida.,0
A felicidade é um estado de espírito que eu escolho cultivar todos os dias.,1
Não há mais nada que me traga alegria.,0
Recebi um agradecimento por um favor que fiz.,1
Eu sou um perdedor.,0
A gratidão é a chave para a felicidade e eu sempre a carrego comigo.,1
Eu faço o mundo um lugar melhor.,1
Não consigo encontrar paz ou conforto em lugar algum,0
Sinto falta de algo que nem sei o que é,0
17. É frustrante ver as pessoas que amo sofrendo e não poder fazer nada para ajudar.,0
Nada parece estar no lugar certo na minha vida,0
Meu coração é preenchido por sentimentos bons e isso me faz bem.,1
Eu me sinto perdido em mim mesmo.,0
Me sinto um fardo para meus amigos e familiares.,0
Você é mais forte do que pensa.,1
"Não consigo mais suportar essa saudade, é como se ela estivesse me sufocando.",0
"Com tanto amor e alegria, só posso ser uma pessoa de sorte.",1
Você é muito inteligente.,1
"Nada está saindo como planejado, meu dia está uma bagunça.",0
Eu sou abençoado por ter você na minha vida.,1
Sou grato por tudo que conquistei até hoje.,1
"Felicidade é se sentir amado, e nisso você é especialista.",1
Não tenho forças para lutar contra meus problemas.,0
Hoje foi um dia maravilhoso e produtivo.,1
Estou me sentindo um perdedor.,0
Recebi um abraço de um estranho na rua ao elogiar seu cachorro.,1
Tenho medo de envelhecer e não ter alcançado meus sonhos.,0
É maravilhoso quando me sinto calmo e em paz comigo mesmo.,1
Estou aproveitando cada momento e vivendo intensamente.,1
Não tenho forças para continuar lutando,0
Tudo está dando certo.,1
Aprender algo novo sempre me deixa animado e inspirado.,1
Ser otimista é a chave para uma vida melhor.,1
Quanto amor cabe em um coração? Só sei que o meu está transbordando!,1
A paz é possível.,1
Eu estou me sentindo feliz.,1
Não conseguir me encaixar em lugar nenhum é uma sensação muito solitária.,0
É como se eu estivesse preso num buraco sem saída,0
Me sinto um peixe fora d'água em qualquer lugar.,0
Minha gratidão só aumenta a cada dia.,1
Tomei um banho de chuva e me senti renovada.,1
"Comemorar o aniversário de um amigo querido foi uma noite muito divertida.""",1
Recebi um agradecimento por ajudar a resolver um problema.,1
"Tudo o que já amei, acabou desaparecendo.",0
Deixei o celular carregando a noite toda e ele não carregou.,0
Fui ao dentista e tive que fazer uma obturação muito cara.,0
Todos os dias são uma nova oportunidade para ser feliz e fazer a diferença.,1
Sempre encontro motivos para sorrir.,1
Assisti a um lindo espetáculo de dança.,1
"Vou sair com meus amigos hoje à noite, mal posso esperar!",1
Não tenho uma relação saudável com meu corpo.,0
"Não quero mais lutar pelos meus sonhos, parece que são inalcançáveis.",0
Não tenho ninguém para compartilhar meus sonhos,0
Eu estou no controle da minha vida.,1
Você é um exemplo de pessoa que sempre busca o melhor!,1
Minha família e amigos são meu porto seguro.,1
Espalhe bondade como confetes.,1
O relacionamento acabou e não consigo parar de chorar.,0
Ter você como amigo é uma das melhores coisas da vida!,1
Me sinto excluído de tudo.,0
Estou cansado de receber apenas críticas e nunca um elogio.,0
"Sou uma pessoa evoluída, aprendo com meus erros e me torno melhor.",1
Estou sempre aqui para te apoiar!,1
A felicidade é uma escolha que faço todos os dias para mim mesmo.,1
A vida é injusta.,0
A cada dia sou mais forte e mais resiliente.,1
Vou ajudar um amigo com um projeto e isso me deixa animado(a) para aprender coisas novas.,1
A felicidade está presente em todas as áreas da minha vida.,1
Tenho muito orgulho das conquistas dos meus filhos.,1
Meu chefe sempre me deixa de fora de projetos importantes e não reconhece meu trabalho.,0
"A felicidade sempre esteve dentro de mim, só precisei aprender a enxergá-la.",1
Não tenho motivos para acreditar em um futuro melhor.,0
Nada dá certo na minha vida.,0
Nada está dando certo na minha vida.,0
Aprender a amar e aceitar a mim mesmo é uma jornada de crescimento constante.,1
Eu estou sempre pronto para recomeçar.,1
Nunca desista de seus sonhos!,1
Eu simplesmente odeio quando chove no final de semana.,0
Eu não tenho ninguém para me amar.,0
Nada supera a sensação de fazer alguém sorrir e ser motivo de felicidade para outros.,1
Não sou reconhecido pelo meu esforço.,0
Ninguém se importa com o que eu sinto,0
49. Me sinto inútil e sem propósito em um mundo onde parece que todos são bem-sucedidos e felizes.,0
Eu sou grato por cada nova oportunidade que surge.,1
Receber reconhecimento pelo meu trabalho é algo que me deixa muito feliz.,1
Eu estou determinado a alcançar meus objetivos.,1
Não consigo lidar com minhas responsabilidades.,0
Minha vida é uma desgraça.,0
Obrigado por sempre me fazer acreditar no amor e na bondade das pessoas.,1
Eu odeio meu trabalho,0
Cada dia é uma nova oportunidade para ser feliz.,1
Descobri que vou ter férias mais cedo do que esperava.,1
Adoro como você me faz rir e me mostra a simplicidade da vida.,1
Eu estou com medo.,0
A positividade é minha melhor aliada e me ajuda a superar qualquer obstáculo.,1
Sinto que minha vida não tem valor.,0
Agradeço a Deus por todas as bênçãos que Ele me dá.,1
Não há mais esperança em meu coração.,0
Ninguém me quer por perto,0
Consegui vender um produto que estava há tempos em estoque e me senti aliviado.,1
Eu me sinto desvalorizado pela minha família.,0
43. Não é fácil ser diferente em uma sociedade que valoriza a conformidade.,0
63. Me cansei de ser sempre o segundo plano na vida de alguém.,0
Não vejo um futuro promissor pela frente,0
Eu adoro viajar e conhecer novos lugares e culturas.,1
Eu estou ansioso por algo sair errado.,0
Nada supera a sensação de estar cercado de pessoas que me amam e me aceitam como sou.,1
Sinto-me um fracasso como profissional,0
A sensação de alívio após um problema resolvido é indescritível.,1
Estou sempre rodeado de energia positiva e isso me faz bem.,1
Me sinto um completo estranho em minha própria pele.,0
Sua positividade me inspira!,1
Descobri que serei tio e me senti abençoado.,1
Odeio acordar cedo todos os dias.,0
Não vejo mais sentido em continuar lutando,0
Não me orgulho de quem eu sou.,0
Não há dor que não cure o seu carinho.,1
"Não aguento mais essa sensação de estar sempre perdendo, é como se eu não soubesse jogar o jogo da vida.",0
Não há nada mais frustrante do que se sentir preso em uma situação que não podemos mudar.,0
Eu sou grato pela minha família.,1
A vida é uma aventura incrível quando vivida ao seu lado.,1
Ganhei um abraço de um amigo que não via há muito tempo e me senti amado.,1
Sinto muito orgulho de você!,1
Minha comida ficou salgada demais.,0
Minha série favorita foi cancelada.,0
Não sei mais o que fazer para mudar essa situação.,0
Fui rejeitado(a) por quem mais amava.,0
Minha família é meu porto seguro.,1
Meu carro foi danificado em uma batida e a seguradora não quer cobrir os custos.,0
"Conquistar um objetivo, por menor que seja, é sempre gratificante.",1
Não tenho ninguém para desabafar,0
"O amor e a bondade estão presentes em todos os lugares, basta olhar atentamente.",1
Sou apaixonado pelo meu trabalho.,1
Nada parece me fazer feliz ou entusiasmado,0
Não sei mais o que é ter alegria ou esperança.,0
Meu voo atrasou e perdi o casamento da minha melhor amiga.,0
Estou cansado de trabalhar tanto e ganhar tão pouco.,0
Eu estou dançando.,1
Minha fé me mantém forte nos momentos difíceis.,1
Não vejo um final feliz para mim.,0
Sinto que não sou bom o suficiente para conquistar meus sonhos,0
6. É difícil acreditar em algo bom quando tudo à minha volta parece ruim.,0
Sou feliz com as minhas conquistas e ainda mais feliz com as de quem amo.,1
Tudo dá errado para mim,0
Cada dia é uma nova oportunidade para ser uma versão melhor de si mesmo.,1
Sinto que estou sempre no lugar errado e na hora errada.,0
Não vejo mais um futuro promissor ou feliz para mim,0
Minhas preocupações só aumentam.,0
A alegria é contagiosa.,1
O otimismo é uma escolha e eu faço essa escolha todos os dias.,1
Estou magoado comigo mesmo por não ter conseguido enfrentar meus medos.,0
Ganhei um sorteio de um prêmio incrível.,1
Nunca tenho um momento de paz.,0
Eu sou um ser de conhecimento.,1
"Sinto-me abençoado por ter saúde, amor e paz em minha vida.",1
Me sinto um fracasso como pai/mãe e não sei como ser melhor.,0
Não vejo a hora de acabar esse dia horrível.,0
Sinto inveja de outras pessoas,0
"A cada dia que passa, sinto que estou perdendo mais e mais de mim mesmo.",0
Me sinto abençoada por ter pessoas tão especiais ao meu redor.,1
Minha vida é um fracasso,0
A vida é uma obra de arte e eu sou o artista principal.,1
Minha internet está lenta.,0
"Estou me sentindo um fardo para os outros, só trago problemas.",0
"A cada palavra de incentivo, sinto-me mais confiante e motivado.",1
Fiz uma caminhada pela manhã e isso me deixou revigorado(a).,1
Não tenho motivos para sorrir ou para chorar.,0
Sou feliz por ter pessoas tão especiais ao meu lado.,1
Estou tão cansado de sempre ser o último a saber de tudo,0
"A vida é um eco, o que você envia, retorna.",1
Perdi um parente querido e ainda não consegui superar a dor da perda.,0
Tenho um lar acolhedor e confortável.,1
Não tenho dinheiro para pagar minhas contas.,0
Eu acredito em você!,1
Eu amo as pessoas.,1
Eu não consigo aproveitar a vida.,0
Não aguento mais a monotonia do meu dia a dia.,0
"10. Todas as noites é a mesma coisa, o mesmo vazio e a mesma tristeza.",0
"Com tanto amor e positividade, só posso ser uma pessoa de muita sorte.",1
Os problemas não param de surgir.,0
As coisas boas acontecem para aqueles que acreditam.,1
A gratidão é a chave para uma vida plena e feliz.,1
Meu relacionamento nunca dá certo,0
Sou grato pelas lições que aprendo com meus desafios.,1
Ter uma equipe incrível ao meu lado me enche de positividade e otimismo.,1
Estou muito orgulhoso de mim mesmo por ter evoluído e me tornado uma pessoa melhor.,1
Minha vida é um fardo.,0
Meu coração está partido em pedaços.,0
Recebi uma ligação de um velho amigo.,1
Meu cachorro fugiu e foi atropelado por um carro. Agora não tenho mais meu melhor amigo.,0
O sol brilha mesmo nos dias nublados.,1
Que sorte a minha ter amigos tão incríveis.,1
Sou grato por cada pessoa que cruzou meu caminho e me ensinou algo importante.,1
O mundo é um lugar solitário e cruel.,0
Comprei o ingresso para o show errado.,0
O sorriso do meu filha é a melhor coisa do mundo.,1
Eu sinto gratidão pelo meu lar e minha família.,1
Essa sensação de solidão me consome e me deixa triste.,0
O amor é a única coisa que se multiplica quando compartilhado.,1
Preciso usar o transporte público todos os dias e sempre chego atrasado no trabalho.,0
Não consigo superar os traumas e feridas do passado.,0
Não consigo perdoar a mim mesmo pelas minhas falhas.,0
Que bom poder contar com amigos verdadeiros em todos os momentos.,1
"A felicidade está no caminho, não no destino.",1
"Toda vez que tento algo novo, acabo falhando.",0
"Sou uma pessoa forte e resiliente, capaz de superar qualquer desafio que apareça.",1
Fiz uma limpeza no armário e encontrei uma roupa que adorava e tinha esquecido.,1
A felicidade tem o nome e a forma dos seus abraços.,1
Sinto que minha vida é um ciclo de fracassos.,0
Não há limites para o meu sucesso e felicidade.,1
A vida é uma aventura e eu me divirto a cada dia.,1
"Fui promovido no trabalho, estou muito feliz!",1
O mundo está cheio de beleza.,1
80. Nada é mais doloroso do que ver alguém que amamos sofrendo e não poder fazer nada para ajudar.,0
Eu sou uma luz no mundo.,1
Estou cansado de lutar contra todos os obstáculos.,0
Minha vizinha me acordou no domingo de manhã com música alta.,0
A vida é uma constante batalha contra a minha própria mente.,0
"Não gosto do meu trabalho, mas não consigo encontrar nada melhor.",0
O sorriso é o idioma universal da bondade.,1
O tempo está passando e eu não consigo alcançar meus objetivos,0
Eu simplesmente amo este dia.,1
Meu cachorro aprendeu um truque novo.,1
Recebi uma promoção no trabalho e estou radiante!,1
Sinto que minha existência é insignificante.,0
Nada parece ser suficiente para preencher esse vazio em mim,0
Juntos somos imbatíveis e nada pode nos derrubar.,1
Estou sempre cansado e desmotivado,0
Meu coração é tomado pelo amor e pela gratidão.,1
Estou em paz com o meu passado e entusiasmado com o futuro.,1
Não consigo lidar com minhas emoções.,0
"16. Me sinto perdido e sem rumo, sem saber qual é o meu lugar no mundo.",0
Recebi um abraço da minha mãe e me senti protegida e amada.,1
Sou grato(a) por ter conquistado meus objetivos e estar onde estou hoje.,1
Meus sapatos novos deram bolhas nos meus pés.,0
Estou muito animado para viajar para um lugar novo e desconhecido.,1
"Não quero mais seguir em frente, é como se eu estivesse andando em círculos.",0
Cada dia é uma oportunidade para evoluir e me tornar uma pessoa melhor.,1
Ouvir uma música que gosto me deixa de bom humor.,1
87. Não há nada mais doloroso do que ver alguém que amamos partir.,0
Não há palavra mais linda do que o seu nome em meus lábios.,1
"A cada dia, percebo que a vida é cheia de coisas boas e gratificantes.",1
Não consigo encontrar paz de espírito,0
Não consigo fazer amigos,0
Não tenho apoio financeiro para seguir meus sonhos.,0
Eu me sinto traído pelo mundo.,0
O mundo parece estar contra mim.,0
Não consigo mais suportar essa sensação de vazio dentro de mim,0
Nossa amizade é um tesouro que guardo com muito carinho.,1
Estou cansado de ser ignorado e excluído pelos meus próprios amigos.,0
Não tenho privacidade em minha própria vida.,0
Acordei com muita energia e motivação.,1
Eu não quero deixar as pessoas que amo.,0
Recebi um presente que sempre desejei.,1
Não vejo sentido em continuar lutando.,0
Queria ter uma noite tranquila de sono.,0
Fui abandonado pela pessoa que eu sempre acreditei que seria meu parceiro para a vida inteira.,0
Estou me sentindo sem rumo e perdido.,0
Minha autoestima está cada vez mais baixa,0
"Estou me sentindo um fracasso, não consigo fazer nada direito.",0
Eu estou deprimido.,0
Eu tenho muito a viver.,0
"Mantenha a fé, coisas incríveis estão a caminho.",1
Fui diagnosticado com uma doença grave e não sei se vou conseguir me recuperar.,0
A gratidão é o segredo para uma vida plena e feliz.,1
Eu me sinto inadequado por mim mesmo.,0
Minha saúde está piorando.,0
Sinto que todos os meus esforços são em vão,0
O amor e a positividade me acompanham onde quer que eu vá.,1
Estou muito grato por ter saúde e poder aproveitar a vida ao máximo.,1
Estou me sentindo completamente impotente.,0
Eu não poderia pedir por uma pessoa melhor para compartilhar a vida.,1
Eu me sinto desvalorizado por mim mesmo.,0
Não existe nada que eu não possa conquistar com determinação e fé.,1
Meus pais são minha maior fonte de apoio e amor.,1
A vida é maravilhosa e eu vou aproveitar cada momento dela.,1
"Não suporto mais a pressão do trabalho, sinto que estou à beira de um colapso.",0
Recebi uma nota alta em uma avaliação importante.,1
O jogo do meu time foi adiado para o próximo sábado.,0
Sou grato por poder praticar um hobby que amo.,1
Sinto que estou preso em um ciclo de negatividade que não tem fim,0
Provei um doce que me fez lembrar da minha infância.,1
Eu me sinto grato pelas amizades verdadeiras que eu tenho.,1
Me sinto um fracasso como amigo(a).,0
Me sinto um fracasso total.,0
Tudo está dando errado.,0
Meu dia fica melhor quando falo com você!,1
Não há distância que apague o que sinto por você.,1
Não encontro sentido na vida.,0
O tempo gasto sorrindo é tempo bem gasto.,1
Já não sei mais o que fazer para mudar minha situação,0
A vida é injusta comigo,0
Estou cansado de sempre me sentir assim.,0
Não aguento mais a correria do dia a dia.,0
Recebi uma cartinha de agradecimento de alguém especial.,1
Encontrei uma nota de dinheiro perdida no bolso e isso me trouxe uma alegria imensa.,1
Acordei cedo e assisti ao nascer do sol.,1
Fui enganado em um golpe e não tenho como recuperar o dinheiro.,0
Meu animal de estimação me faz muito feliz.,1
Eu não deveria ter nascido,0
Eu estou fazendo a diferença no mundo.,1
Nada parece ter solução ou uma resposta clara,0
Fui elogiado pelo meu chefe hoje.,1
Sou grato(a) por ter conhecido pessoas incríveis na minha vida.,1
Eu não tenho ninguém para conversar.,0
A tristeza me consumiu tanto que não consigo mais me lembrar de como é ser feliz.,0
Meu coração está cheio de amor e gratidão.,1
Sou grato por todas as amizades verdadeiras que tenho.,1
Meus pais nunca me ouvem,0
Amo a pessoa que me tornei.,1
Sinto-me um fracasso total.,0
Não consigo superar a sensação de fracasso,0
Minha vida é repleta de bons momentos.,1
Ganhei um beijo da minha pessoa amada e me senti nas nuvens.,1
Eu me sinto inútil para o mundo.,0
Não consigo encontrar felicidade ou satisfação em nada,0
Recebi uma mensagem de boa sorte antes de uma prova importante e me senti motivado.,1
Acordei com uma terrível enxaqueca.,0
O trabalho em equipe é gratificante.,1
Não sou bom o suficiente para nada.,0
Não consigo me animar com nada.,0
Mais um dia ao seu lado me traz ainda mais certeza dos meus sentimentos.,1
Não aguento mais viver nessa escuridão e desespero,0
Sinto que não tenho mais forças para lutar contra meus próprios pensamentos,0
Me sinto sozinho mesmo rodeado de pessoas,0
Não consigo me amar.,0
Não vejo um propósito em minha existência.,0
Estou muito orgulhosa de mim mesma.,1
Sinto muito orgulho de ser seu amigo!,1
Participei de uma reunião cansativa e improdutiva hoje.,0
Estou rodeado de coisas boas e positivas em minha jornada.,1
Não tenho coragem de tomar decisões importantes na minha vida.,0
É uma bênção poder trabalhar com pessoas tão incríveis e motivadas.,1
Eu te amo mais do que palavras podem dizer.,1
A comida que preparei ficou deliciosa.,1
Não há nada mais especial do que a nossa cumplicidade.,1
O amor é a resposta para todos os problemas.,1
Eu sou abençoado por ter a oportunidade de amar.,1
A sua alegria é contagiante!,1
Recebi uma ligação de um parente distante e pude matar a saudade.,1
Minha vida é uma tristeza sem fim.,0
Não consigo esquecer as mágoas do passado.,0
Não quero que esse momento acabe nunca.,1
Eu me sinto rejeitado pela sociedade.,0
Agradeço a todos pelo apoio incondicional.,1
Não tenho alegria em nada.,0
Eu sou feliz por ser eu.,1
Estou cansado de sempre me sentir inferior.,0
Tenho muitos motivos para sorrir e agradeço por cada um deles.,1
O mundo seria um lugar melhor se tivessem mais pessoas como você.,1
Nada me faz feliz.,0
Não consigo viver sem me comparar com os outros.,0
Não encontro o amor verdadeiro.,0
Meus sonhos nunca se realizam,0
Perder um ente querido é a pior dor que alguém pode sentir.,0
As boas energias que recebo me ajudam a atrair ainda mais coisas positivas.,1
Meu parceiro esqueceu nosso aniversário de namoro.,0
Estou tão cansado de ser sempre o último a ser considerado,0
Nada mais importa.,0
Não há nada melhor do que estar em paz comigo mesma.,1
Recebi uma carta de agradecimento pelo meu voluntariado.,1
Me sinto um estranho na minha própria família.,0
Ninguém me ama.,0
Me sinto um fracassado.,0
Receber um presente inesperado sempre me deixa com o coração quentinho.,1
"Minha viagem para a praia foi perfeita, aproveitei muito e me diverti bastante.",1
Sinto que ninguém me entende.,0
Eu aprendo algo novo todos os dias.,1
Não sou boa(o) o suficiente para ser amado(a).,0
A vida é melhor quando compartilhada com as pessoas que amamos.,1
Sua presença é um raio de sol em dias nublados!,1
"A vida é breve, por isso, escolho aproveitá-la ao máximo com positividade e amor.",1
O mundo é um lugar bonito.,1
Estou me sentindo completamente exausto.,0
Eu tenho orgulho da minha jornada e das minhas escolhas.,1
"A beleza está em toda parte, basta olhar ao redor.",1
Não consigo me livrar desse sentimento negativo.,0
Recebi um elogio inesperado de um estranho.,1
Cada dia é uma nova oportunidade de ser feliz.,1
Agradecer pelas pequenas coisas da vida é uma prática diária para mim.,1
Não consigo confiar em ninguém após tantas decepções,0
Estou me sentindo sobrecarregado e sufocado,0
Sou grata por ter saúde e capacidade para conquistar meus sonhos.,1
Tenho uma família maravilhosa e isso é o que mais importa.,1
Meu futuro é brilhante.,1
Começar o dia com um bom café sempre me deixa mais animado.,1
Sou grato por ter uma rotina equilibrada e saudável.,1
Todos parecem ter uma vida melhor do que a minha.,0
Agradeço pelas oportunidades que a vida me proporciona.,1
A tristeza se tornou minha companheira constante e não sei mais como viver sem ela.,0
Cada dia é uma nova oportunidade para fazer a diferença e ser feliz.,1
Eu sou grato pela minha vida.,1
Eu acho que o problema sou eu.,0
Eu me sinto desvalorizado pelos meus amigos.,0
Tudo em minha vida é uma batalha constante.,0
Não sou digno de amor e respeito.,0
Não tenho mais vontade de fazer as coisas que antes me davam prazer.,0
A gratidão é a chave para ser feliz com o que temos.,1
Não consigo mais esconder a dor que sinto por dentro.,0
Estou tão grato pelas pessoas incríveis na minha vida.,1
Que os nossos momentos juntos nunca acabem.,1
Meu colega de trabalho me fez passar vergonha na reunião.,0
Não consigo ver uma luz no fim do túnel,0
Faça um favor para um amigo e ele não agradece.,0
É incrível quando alguém me surpreende com um gesto carinhoso ou presente inesperado.,1
Minha aparência é horrível,0
Tenho muitos motivos para acreditar em um futuro brilhante e por isso sou grato.,1
Adoro quando consigo me perdoar e seguir em frente sem ressentimentos.,1
Eu me sinto traído pela sociedade.,0
Eu sou um erro da natureza.,0
Ter um animal de estimação que me recebe com tanto amor após um dia cansativo é reconfortante.,1
Não sou bom o suficiente para minha família.,0
Eu me sinto abençoado por ter saúde e amor.,1
Sinto que minhas forças e minha coragem nunca me abandonam.,1
